Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,BR Count,City,Sync Price,Año,Mes_num,Mes,tipo_estadia,prev_booked,days_since_last,flag_last_minute,flag_orphan,flag_recency,flag_discount,ADR_ideal,Revenue_ideal,Revenue_perdido,Temporada,tipo
Casa VIP Medellín 2 - Private Room,2024-08-24,2024-09-22,2024-08-10,13.71,397.5,407.5,USD,Airbnb,Booked,29,14,HMRHNEC3R8,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,8,2024-08,Mensual 15-30,2024-08-10,0.0,True,False,False,True,19.58571428571429,567.9857142857144,160.48571428571438,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-10-09,2024-10-16,2024-10-09,17.36,121.55,131.55,USD,Airbnb,Booked,7,0,HMD52DCQK5,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,10,2024-10,Media 4-7,2024-08-10,60.0,True,True,True,True,24.8,173.6,42.04999999999998,Temporada baja,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2024-10-25,2024-11-25,2024-10-21,13.55,420.0,430.0,USD,Airbnb,Booked,31,4,HMXEYWJY99,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,10,2024-10,Larga 31+,2024-10-09,12.0,True,False,False,True,19.357142857142858,600.0714285714286,170.07142857142856,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2024-12-05,2024-12-15,2024-11-20,32.13,321.3,331.3,USD,Airbnb,Booked,10,15,HMSXHPB5YB,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,12,2024-12,Quincenal 8-14,2024-10-21,30.0,True,False,True,True,45.900000000000006,459.00000000000006,127.70000000000005,Navidad/Año Nuevo,Media (8-14n)
Casa VIP Medellín 2 - Private Room,2024-12-18,2025-01-01,2024-12-15,20.25,283.5,293.5,USD,Airbnb,Booked,14,3,HM5B3P94BR,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2024,12,2024-12,Quincenal 8-14,2024-11-20,25.0,True,False,False,True,28.92857142857143,405.0,111.5,Navidad/Año Nuevo,Media (8-14n)
Casa VIP Medellín 2 - Private Room,2025-01-09,2025-01-27,2025-01-09,19.37,348.6,358.6,USD,Airbnb,Booked,18,0,HMRQSTTHXF,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,1,2025-01,Mensual 15-30,2024-12-15,25.0,True,False,False,True,27.671428571428574,498.08571428571435,139.48571428571432,Navidad/Año Nuevo,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2025-01-29,2025-02-08,2025-01-29,18.79,187.85,197.85,USD,Airbnb,Booked,10,0,HMKTMSY3BW,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,1,2025-01,Quincenal 8-14,2025-01-09,20.0,True,False,False,True,26.84285714285714,268.42857142857144,70.57857142857145,Navidad/Año Nuevo,Media (8-14n)
Casa VIP Medellín 2 - Private Room,2025-02-14,2025-02-20,2025-02-12,24.33,146.0,156.0,USD,Airbnb,Booked,6,2,HMSDZMRDKF,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,2,2025-02,Media 4-7,2025-01-29,14.0,True,True,False,True,34.75714285714286,208.54285714285714,52.542857142857144,Temporada baja,Corta (1-7n)
Casa VIP Medellín 2 - Private Room,2025-02-23,2025-03-13,2025-02-15,19.09,343.7,353.7,USD,Airbnb,Booked,18,8,HM2ZMYXTJ5,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,2,2025-02,Mensual 15-30,2025-02-12,3.0,True,False,False,True,27.271428571428572,490.8857142857143,137.1857142857143,Temporada baja,Larga (15+n)
Casa VIP Medellín 2 - Private Room,2025-03-15,2025-03-21,2025-03-15,20.33,122.0,132.0,USD,Airbnb,Booked,6,0,HMW5S2R4PB,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,1,Medellín,Off,2025,3,2025-03,Media 4-7,2025-02-15,28.0,True,True,False,True,29.04285714285714,174.25714285714284,42.25714285714284,Semana Santa,Corta (1-7n)
