Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status,Length of Stay (Days),Booking Window (Days),Reservation ID,Listing ID,Unit ID,PMS,Property Name,BR Count,Group,Sub-Group,Tags,City,Sync Price
Casa VIP Medellín 4 - Private Room,12 abr 2025,16 abr 2025,11 abr 2025,$ 21.00,$ 84.00,$ 94.00,USD,Airbnb,Booked,4,1,HMZWY4XFJT,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,01 jun 2025,06 jul 2025,08 abr 2025,$ 82.71,"$ 2,895.00","$ 2,945.00",USD,Airbnb,Booked,35,54,HME3D3Z8C4,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 2 - Private Room,07 abr 2025,14 abr 2025,06 abr 2025,$ 17.97,$ 125.80,$ 135.80,USD,Airbnb,Booked,7,1,HM8HQZJ4CA,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,04 abr 2025,11 abr 2025,04 abr 2025,$ 16.88,$ 118.15,$ 128.15,USD,Airbnb,Booked,7,0,HMMTXT4EWT,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,02 abr 2025,06 abr 2025,03 abr 2025,$ 18.25,$ 73.00,$ 83.00,USD,Airbnb,Booked,4,-1,HMDN82NSQ4,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,06 abr 2025,23 abr 2025,30 mar 2025,$ 52.47,$ 892.00,$ 917.00,USD,Airbnb,Booked,17,7,HMM9XAZJ9Y,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 6 - Private Room + Bathroom,31 mar 2025,14 abr 2025,29 mar 2025,$ 15.50,$ 217.00,$ 227.00,USD,Airbnb,Booked,14,2,HMNWTXFRQB,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,28 mar 2025,11 abr 2025,28 mar 2025,$ 14.55,$ 203.70,$ 213.70,USD,Airbnb,Booked,14,0,HMHXQAMXCJ,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,27 mar 2025,01 abr 2025,28 mar 2025,$ 18.80,$ 94.00,$ 104.00,USD,Airbnb,Booked,5,-1,HMX3BBJR2H,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,28 mar 2025,11 abr 2025,27 mar 2025,$ 15.40,$ 215.60,$ 225.60,USD,Airbnb,Booked,14,1,HM89ZRTY5B,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,30 abr 2025,28 may 2025,27 mar 2025,$ 77.36,"$ 2,166.00","$ 2,216.00",USD,Airbnb,Booked,28,34,HMN8FK3SZ3,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 2 - Private Room,21 mar 2025,26 mar 2025,18 mar 2025,$ 23.40,$ 117.00,$ 127.00,USD,Airbnb,Booked,5,3,HM2SZY5EAB,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,18 mar 2025,27 mar 2025,17 mar 2025,$ 20.21,$ 181.90,$ 191.90,USD,Airbnb,Booked,9,1,HMRZHXW323,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,15 mar 2025,21 mar 2025,15 mar 2025,$ 20.33,$ 122.00,$ 132.00,USD,Airbnb,Booked,6,0,HMW5S2R4PB,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,08 jul 2025,12 ago 2025,13 mar 2025,$ 108.77,"$ 3,807.00","$ 3,857.00",USD,Airbnb,Booked,35,117,HMFRRBC8AM,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 3 - Private Room,08 mar 2025,12 mar 2025,08 mar 2025,$ 19.00,$ 76.00,$ 86.00,USD,Airbnb,Booked,4,0,HMQFZBWFPJ,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,13 mar 2025,17 mar 2025,26 feb 2025,$ 129.00,$ 516.00,$ 566.00,USD,Airbnb,Booked,4,15,HM2SDBNEWK,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 1 - Private Room + Bathroom,20 mar 2025,10 abr 2025,24 feb 2025,$ 16.57,$ 348.00,$ 358.00,USD,Airbnb,Booked,21,24,HMH54W4TD9,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,23 feb 2025,02 mar 2025,23 feb 2025,$ 19.31,$ 135.15,$ 145.15,USD,Airbnb,Booked,7,0,HMREHXJ8TS,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,20 feb 2025,24 feb 2025,20 feb 2025,$ 23.00,$ 92.00,$ 102.00,USD,Airbnb,Booked,4,0,HMXRA2K2QY,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,17 feb 2025,22 feb 2025,16 feb 2025,$ 25.60,$ 128.00,$ 138.00,USD,Airbnb,Booked,5,1,HMQHXR9CRQ,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,23 feb 2025,13 mar 2025,15 feb 2025,$ 19.09,$ 343.70,$ 353.70,USD,Airbnb,Booked,18,8,HM2ZMYXTJ5,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,23 feb 2025,13 mar 2025,15 feb 2025,$ 18.32,$ 329.70,$ 339.70,USD,Airbnb,Booked,18,8,HMEDHHHSC9,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,17 feb 2025,24 feb 2025,14 feb 2025,$ 20.52,$ 143.65,$ 153.65,USD,Airbnb,Booked,7,3,HMWWKWCRRZ,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,24 feb 2025,07 mar 2025,14 feb 2025,$ 23.03,$ 253.30,$ 263.30,USD,Airbnb,Booked,11,10,HMDFHPDAHC,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,27 feb 2025,31 mar 2025,13 feb 2025,$ 14.34,$ 459.00,$ 469.00,USD,Airbnb,Booked,32,14,HM83SNKSJD,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 1 - Private Room + Bathroom,15 feb 2025,15 mar 2025,12 feb 2025,$ 13.41,$ 375.50,$ 385.50,USD,Airbnb,Booked,28,3,HMNBM2TZT8,81289b93-6954-4545-863d-a3f9e23b96cd,81289b93-6954-4545-863d-a3f9e23b96cd,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,14 feb 2025,20 feb 2025,12 feb 2025,$ 24.33,$ 146.00,$ 156.00,USD,Airbnb,Booked,6,2,HMSDZMRDKF,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 4 - Private Room,08 feb 2025,17 feb 2025,08 feb 2025,$ 19.55,$ 175.95,$ 185.95,USD,Airbnb,Booked,9,0,HMKBW3AFM3,839e14b6-b389-4dba-b8e4-bf203f7687b6,839e14b6-b389-4dba-b8e4-bf203f7687b6,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,08 feb 2025,17 feb 2025,02 feb 2025,$ 22.29,$ 200.60,$ 210.60,USD,Airbnb,Booked,9,6,HMJ4DAPRMF,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,31 ene 2025,05 feb 2025,29 ene 2025,$ 23.60,$ 118.00,$ 128.00,USD,Airbnb,Booked,5,2,HMYK8A9HQ4,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 2 - Private Room,29 ene 2025,08 feb 2025,29 ene 2025,$ 18.79,$ 187.85,$ 197.85,USD,Airbnb,Booked,10,0,HMKTMSY3BW,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 6 - Private Room + Bathroom,28 ene 2025,18 feb 2025,26 ene 2025,$ 15.94,$ 334.80,$ 344.80,USD,Airbnb,Booked,21,2,HM3TDNDN88,04d23bd1-f965-4e4d-b06e-41d58980ff78,04d23bd1-f965-4e4d-b06e-41d58980ff78,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,22 ene 2025,30 ene 2025,17 ene 2025,$ 23.80,$ 190.40,$ 200.40,USD,Airbnb,Booked,8,5,HMXDWMMQE2,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 5 - Private Room + Bathroom,23 ene 2025,20 feb 2025,14 ene 2025,$ 15.07,$ 422.00,$ 432.00,USD,Airbnb,Booked,28,9,HMA3XH3JCH,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,adc37858-a5d4-4f6b-85fd-fbd1f55445d0,Hospitable,,1,NA,NA,,Medellín,Off
Casa VIP Medellín 3 - Private Room,13 ene 2025,19 ene 2025,13 ene 2025,$ 22.17,$ 133.00,$ 143.00,USD,Airbnb,Booked,6,0,HMETN4R8C8,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
OASIS 201 - Balcony | Tub | 500M,05 feb 2025,05 mar 2025,12 ene 2025,$ 46.07,"$ 1,290.00","$ 1,315.00",USD,Airbnb,Booked,28,24,HMMBW9HTPP,9fa010e4-9b94-4b9b-b6de-1792596bb063,9fa010e4-9b94-4b9b-b6de-1792596bb063,Hospitable,,1,NA,NA,,Medellín,On
Casa VIP Medellín 2 - Private Room,09 ene 2025,27 ene 2025,09 ene 2025,$ 19.37,$ 348.60,$ 358.60,USD,Airbnb,Booked,18,0,HMRQSTTHXF,5b3be724-13b4-4256-b706-f463679b25ae,5b3be724-13b4-4256-b706-f463679b25ae,Hospitable,,1,NA,NA,,Medellín,Off
OASIS PH - Hot Tub | 2 Terraces,11 feb 2025,11 mar 2025,07 ene 2025,$ 83.52,"$ 2,338.50","$ 2,388.50",USD,Airbnb,Booked,28,35,HMHHPFHCYD,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,f4eb04a3-fd3c-447f-8a01-31e260bbb89b,Hospitable,,2,NA,NA,,Medellín,On
Casa VIP Medellín 3 - Private Room,04 ene 2025,08 ene 2025,05 ene 2025,$ 22.25,$ 89.00,$ 99.00,USD,Airbnb,Booked,4,-1,HMQCSNKD5Z,561cb290-e338-4065-a524-dc4ad75d0d69,561cb290-e338-4065-a524-dc4ad75d0d69,Hospitable,,1,NA,NA,,Medellín,Off
